tax.species,tax.phylum
Bacteroides_ovatus,Bacteroidetes
Propionibacterium_acidifaciens,Actinobacteria
Sediminibacterium_salmoneum,Bacteroidetes
Gaiella_occulta,Actinobacteria
Propionibacterium_granulosum,Actinobacteria
Sphingopyxis_contaminans,Proteobacteria
Turicibacter_sanguinis,Firmicutes
Prevotella_stercorea,Bacteroidetes
Faucicola_mancuniensis,Proteobacteria
Shewanella_pneumatophori,Proteobacteria
Finegoldia_magna,Firmicutes
Taonella_mepensis,Proteobacteria
Defluviitoga_tunisiensis,Thermotogae
Helicobacter_ganmani,Proteobacteria
Olsenella_uli,Actinobacteria
Ilumatobacter_fluminis,Actinobacteria
Cloacibacterium_normanense,Bacteroidetes
Sphingobacterium_alimentarium,Bacteroidetes
Parasutterella_excrementihominis,Proteobacteria
Brooklawnia_cerclae,Actinobacteria
Megamonas_funiformis,Firmicutes
Aquihabitans_daechungensis,Actinobacteria
Coprothermobacter_proteolyticus,Firmicutes
Fluviicola_hefeinensis,Bacteroidetes
Acinetobacter_ursingii,Proteobacteria
Hydrotalea_flava,Bacteroidetes
Catabacter_hongkongensis,Firmicutes
Coprococcus_eutactus,Firmicutes
Capnocytophaga_ochracea,Bacteroidetes
Treponema_bryantii,Spirochaetes
Clostridium_chromiireducens,Firmicutes
Streptococcus_agalactiae,Firmicutes
Eubacterium_ventriosum,Firmicutes
Olsenella_scatoligenes,Actinobacteria
Frischella_perrara,Proteobacteria
Ethanoligenens_harbinense,Firmicutes
Dolosigranulum_pigrum,Firmicutes
Bacteroides_nordii,Bacteroidetes
Gallicola_barnesae,Firmicutes
Lactobacillus_iners,Firmicutes
Eubacterium_coprostanoligenes,Firmicutes
Bacteroides_massiliensis,Bacteroidetes
Bacillus_thermoamylovorans,Firmicutes
Mesonia_mobilis,Bacteroidetes
Parascardovia_denticolens,Actinobacteria
Prevotella_bivia,Bacteroidetes
,Gemmatimonadetes
Paraprevotella_clara,Bacteroidetes
Asteroleplasma_anaerobium,Tenericutes
Actinomyces_timonensis,Actinobacteria
Dialister_micraerophilus,Firmicutes
Eubacterium_siraeum,Firmicutes
Clostridium_ramosum,Firmicutes
Adhaeribacter_terreus,Bacteroidetes
Cyclobacterium_marinum,Bacteroidetes
Nitrincola_lacisaponensis,Proteobacteria
Parabacteroides_distasonis,Bacteroidetes
Dialister_succinatiphilus,Firmicutes
,Thermotogae
Bdellovibrio_exovorus,Proteobacteria
Dokdonella_koreensis,Proteobacteria
Ruminococcus_champanellensis,Firmicutes
Eggerthella_lenta,Actinobacteria
Nitrosomonas_europaea,Proteobacteria
Bacillus_coagulans,Firmicutes
Leptotrichia_shahii,Fusobacteria
Clostridium_symbiosum,Firmicutes
Prevotella_disiens,Bacteroidetes
Peptoniphilus_lacrimalis,Firmicutes
Geminicoccus_roseus,Proteobacteria
Gilliamella_apicola,Proteobacteria
Oceanobacillus_indicireducens,Firmicutes
Gardnerella_vaginalis,Actinobacteria
Bacteroides_fragilis,Bacteroidetes
Spirosoma_linguale,Bacteroidetes
Kroppenstedtia_eburnea,Firmicutes
Ruminococcus_gnavus,Firmicutes
Sulfuritalea_hydrogenivorans,Proteobacteria
Arsenophonus_nasoniae,Proteobacteria
Nocardioides_islandensis,Actinobacteria
Deinococcus_antarcticus,Deinococcus-Thermus
Rhizocola_hellebori,Actinobacteria
Arenimonas_daejeonensis,Proteobacteria
