,Haemophilus_parainfluenzae,Neisseria_subflava,Porphyromonas_gingivalis,Leptotrichia_hongkongensis,Porphyromonas_catoniae,Lautropia_mirabilis,Veillonella_dispar,Tannerella_forsythia,Porphyromonas_endodontalis,Dialister_invisus,Prevotella_nanceiensis,Prevotella_nigrescens,Neisseria_oralis,Parvimonas_micra,Cardiobacterium_hominis,Treponema_medium,Alloprevotella_tannerae,Catonella_morbi,Prevotella_jejuni,Leptotrichia_goodfellowii,Eikenella_corrodens,Selenomonas_sputigena,Prevotella_shahii,Prevotella_oris,Selenomonas_infelix,Cardiobacterium_valvarum,Campylobacter_gracilis,group
Htb_01,0.072602825,0.210067925,0.001833563,0.001635621,0.008355211,0.016147852,0.028941118,0.000593824,0.002552402,0.00143768,0.003146227,0.005240238,0.00277118,0.000854273,0.001479352,0.002896195,0.002750344,0.000875109,0.017325082,0.000895945,0.001593949,0.001073051,0.002698254,0.002583656,0.001625203,0.001479352,0.000500063,TB
Htb_05,0.098535092,0.145324685,0.000760045,0.002644539,0.008193905,0.001822025,0.031349235,0.000437286,0.001082803,0.000760045,0.01605464,0.000218643,0.001134861,0.000301936,0.000406051,0.000218643,0.000416463,0.000884983,0.001717909,0.000697575,0.00039564,9.37E-05,0.000322759,0.000520578,0.000187408,0.000343582,0.000166585,TB
Htb_17,0.10987109,0.2618352,1.38E-05,0.000443084,0.047202337,0.001896955,0.010758644,4.15E-05,4.15E-05,1.38E-05,0.012863295,1.38E-05,0.00049847,0.001024633,5.54E-05,0,5.54E-05,0.000180003,0.005718558,6.92E-05,0.000761551,0,0.000484624,2.77E-05,0,1.38E-05,1.38E-05,TB
Htb_19,0.130614267,0.127476882,1.50E-05,0.00021016,0.052705056,0.001305993,0.037003122,0,0.00010508,4.50E-05,0.007220488,1.50E-05,0.000330251,0.000435331,9.01E-05,0,0.000465354,0.000375285,0.016452504,0.000120091,0.00031524,0,0.001140867,3.00E-05,0,7.51E-05,4.50E-05,TB
Htb_20,0.077052619,0.029529944,2.95E-05,0.00025113,0.063757497,0.000265902,0.052693001,1.48E-05,0.000413626,4.43E-05,0.011522439,4.43E-05,5.91E-05,0.001920407,2.95E-05,0,0.00131474,0.001329512,0.017963187,2.95E-05,0.00056135,0,0.000974976,5.91E-05,0,0,5.91E-05,TB
Htb_22,0.107065515,0.059657683,0.000117411,0.000326141,0.0337621,0.003809325,0.068593942,2.61E-05,0.000273958,0.000130456,0.009614632,7.83E-05,0.000430506,0.002126438,0.00041746,1.30E-05,0.000378323,0.000639236,0.015459076,9.13E-05,0.000808829,3.91E-05,0.001656795,9.13E-05,2.61E-05,0.000104365,2.61E-05,TB
Htb_23,0.108828715,0.059789854,0.000874414,0.000473044,0.021272631,0.000415705,0.024268574,0.000960422,0.001419131,0.000258024,0.015925804,0.000243689,7.17E-05,0.00123278,0.00021502,0.000143347,0.000344032,0.000372701,0.014807701,0.000114677,0.000989091,4.30E-05,0.000860079,0.000501713,4.30E-05,0.000114677,7.17E-05,TB
Htb_24,0.104741927,0.163234728,0.001412732,0.002111963,0.047404997,0.001869372,0.013328196,0.00025686,0.000970361,0.000941821,0.011273314,0.006064757,0.000527991,0.001427002,0.000656421,0.00012843,0.00038529,0.00031394,0.00856201,0.0002854,0.000656421,0.000827661,0.000870471,0.000998901,0.00019978,0.00027113,8.56E-05,TB
Htb_25,0.102215522,0.231554798,0.00258259,0.000537493,0.02758259,0.000839014,0.019887257,0.001061877,0.00032774,0.000380178,0.035317252,0.000799685,5.24E-05,0.000825905,0.000131096,0.000419507,0.000104877,0.000891453,0.008363922,1.31E-05,0.000222863,0.000157315,0.000668589,3.93E-05,0.000131096,0,7.87E-05,TB
Htb_26,0.136243329,0.194758001,0.001774039,0.00044351,0.066211712,0.00198864,0.059773667,0.000715338,0.00101578,0.000386283,0.02025838,0.000100147,0.00044351,0.014077857,0.000114454,0.000171681,0.000300442,0.000944247,0.006080375,4.29E-05,0.00052935,0,0.00097286,0.000157374,0.000100147,4.29E-05,5.72E-05,TB
