,Hgcf_01,Hgcf_02,Hgcf_03,Hgcf_04,Hgcf_05,Hgcf_06,Hgcf_07,Hgcf_08,Hgcf_09,Hgcf_10,PLgcf_01,PLgcf_02,PLgcf_03,PLgcf_04,PLgcf_05,PLgcf_06,PLgcf_07,PLgcf_08,PLgcf_09,PLgcf_10,PMgcf_01,PMgcf_02,PMgcf_03,PMgcf_04,PMgcf_05,PMgcf_06,PMgcf_07,PMgcf_08,PMgcf_09,PMgcf_10,PHgcf_01,PHgcf_02,PHgcf_03,PHgcf_04,PHgcf_05,PHgcf_06,PHgcf_07,PHgcf_08,PHgcf_09,PHgcf_10
OTU60,139,80,103,318,1317,102,315,123,1312,72,22,279,91,458,222,277,794,103,105,113,54,34,34,55,243,4,19,443,95,30,23,19,440,7,40,68,22,29,39,5
OTU61,24,360,72,110,658,65,247,250,39,36,18,18,66,269,43,75,178,50,276,69,51,32,40,198,29,42,33,237,99,64,195,18,53,43,385,52,66,88,101,23
OTU62,129,19,775,29,72,52,15,9,315,75,60,667,47,205,140,134,61,71,46,24,126,91,97,158,139,52,82,147,107,154,9,20,14,51,25,22,9,162,32,6
OTU63,88,194,20,61,321,28,130,16,36,20,53,10,68,91,730,113,370,237,1092,206,59,31,43,254,28,1801,35,375,19,224,754,515,12,53,809,29,107,53,1107,97
OTU64,51,15,29,33,83,35,103,73,14,43,27,33,48,154,24,82,40,25,71,67,34,44,21,49,16,34,16,49,174,89,37,39,38,34,247,45,29,131,28,20
OTU65,100,27,128,108,210,25,90,59,33,23,66,14,72,83,236,225,120,196,148,105,328,490,503,142,57,140,376,77,88,325,624,451,93,121,275,393,252,117,406,384
OTU66,631,504,450,64,642,362,135,489,249,64,28,36,45,139,88,167,634,187,135,334,108,31,242,343,151,95,75,244,159,560,55,42,840,54,805,131,1387,107,285,60
OTU67,21,13,145,30,35,14,217,312,12,3,72,3,111,287,113,1226,145,121,919,92,1063,696,2146,428,141,1202,979,87,110,1891,438,40,3469,3031,546,1909,680,715,683,899
OTU68,95,52,31,32,145,4,39,33,16,5,87,14,161,151,344,446,480,309,3897,613,129,77,80,297,327,2249,607,153,95,171,552,432,59,101,2060,176,516,128,955,151
OTU69,40,17,26,74,21,22,24,8,117,28,104,24,158,243,198,108,43,29,61,75,19,9,24,27,5,21,11,140,76,98,11,17,9,35,28,6,58,99,10,23
OTU70,60,44,221,59,374,21,77,41,32,27,70,24,56,217,121,289,174,86,75,130,132,292,414,240,80,268,67,71,74,187,19,91,135,156,335,479,402,80,252,109
OTU71,6,3,24,35,12,3,60,7,3,4,47,6,108,33,61,133,78,189,123,63,134,1032,678,653,890,480,96,39,85,1591,2,15,29,122,37,155,483,102,1155,34
OTU72,458,274,109,909,958,701,1454,833,513,266,51,208,470,119,245,130,360,72,188,60,55,6,29,31,36,76,61,50,369,164,40,31,23,9,20,18,41,31,33,29
OTU73,2,15,7,1,6,13,4,12,5,0,17,4,0,68,99,185,57,379,56,71,1145,905,159,176,80,54,677,37,86,199,2,174,349,371,187,814,644,159,257,40
OTU74,55,7,2,52,45,55,67,39,9,5,59,58,270,319,245,122,91,77,133,574,10,17,7,25,12,13,33,2763,89,158,55,134,51,69,260,33,370,53,34,25
OTU75,245,936,48,89,361,182,134,130,37,40,735,66,244,420,1383,376,300,580,909,1813,275,89,46,448,132,77,35,5886,446,359,86,3235,184,284,14534,251,966,559,3052,304
OTU76,18,51,16,1,8,3,13,21,0,17,37,4,44,47,20,126,76,42,54,29,31,32,10,694,36,10,12,449,21,129,48,53,16,51,65,38,6,64,9,4
